record_id,step_0,step_1,step_2,step_3
1428,187.0,705,127,2210.0
2570,188.0,1249,1064,2422.0
827,189.0,1959,986,949.0
151,190.0,3812,1567,2462.0
71,191.0,3680,2283,2692.0
2200,192.0,248,1579,689.0
1831,193.0,2358,3182,2530.0
1398,194.0,734,2744,1115.0
1630,195.0,4010,4564,1028.0
2095,196.0,324,494,1019.0
561,197.0,3941,2973,2622.0
1541,198.0,2243,2966,971.0
2232,199.0,2295,4397,1435.0
1598,200.0,4587,4364,1071.0
2389,201.0,2256,2382,345.0
243,202.0,3319,806,115.0
503,203.0,4324,457,981.0
490,204.0,4782,3270,2421.0
1720,205.0,3514,3212,485.0
2634,206.0,4288,3960,2056.0
1663,207.0,4070,3949,233.0
1879,208.0,92,3893,760.0
1360,209.0,4584,4466,1864.0
1842,210.0,10,2445,2499.0
2567,211.0,4334,1908,1318.0
1844,212.0,3235,4270,2527.0
1739,213.0,774,2974,2329.0
1846,214.0,2395,2540,2679.0
1192,215.0,4715,1381,957.0
1600,216.0,3741,2959,1706.0
2550,217.0,1776,4271,2524.0
1518,218.0,2041,2904,788.0
1992,219.0,1422,4676,1334.0
2249,220.0,63,2860,186.0
120,221.0,292,2872,1194.0
2320,222.0,315,3033,1052.0
1718,223.0,4605,2679,520.0
1757,224.0,2618,1767,405.0
24,225.0,3389,2640,777.0
991,226.0,1454,3353,1192.0
877,227.0,2159,2771,1472.0
1,228.0,2103,950,1860.0
1878,229.0,201,1694,2779.0
1194,230.0,2071,76,394.0
296,231.0,3964,2174,2025.0
2693,232.0,2281,92,1253.0
2622,233.0,1125,1441,2032.0
2159,234.0,1804,3062,565.0
668,235.0,2028,3032,820.0
90,236.0,4580,3692,2858.0
1359,237.0,3314,4109,2491.0
2807,238.0,1699,2601,600.0
1608,239.0,695,2415,1209.0
2176,240.0,1773,2768,2412.0
1845,241.0,1663,3595,2394.0
1827,242.0,4572,2944,2077.0
1184,243.0,4687,2263,2244.0
147,244.0,4030,4000,756.0
1198,245.0,3140,2638,2123.0
1517,246.0,3863,3876,1392.0
1117,247.0,1040,3222,2452.0
660,248.0,1153,1909,2504.0
2450,249.0,4808,4449,835.0
1641,250.0,4450,1098,2678.0
2248,251.0,2215,3417,1417.0
718,252.0,4793,3310,1869.0
2034,253.0,4176,1236,179.0
1617,254.0,290,1270,534.0
129,255.0,3325,3815,1559.0
2803,256.0,1658,405,337.0
778,257.0,129,982,46.0
1058,258.0,1343,1115,362.0
785,259.0,1352,1866,1650.0
1375,260.0,3302,4216,562.0
2153,261.0,2487,576,2284.0
88,262.0,1935,4423,1546.0
2295,263.0,4817,4768,2501.0
2245,264.0,3318,2481,719.0
707,265.0,120,1353,1265.0
398,266.0,2121,3825,2637.0
918,267.0,4697,1576,456.0
2532,268.0,4492,1688,2391.0
2823,269.0,85,4782,2251.0
1962,270.0,3075,4116,1941.0
966,271.0,3219,3935,2403.0
704,272.0,3110,1299,1782.0
606,273.0,1692,1842,1952.0
29,274.0,548,4575,1829.0
1166,275.0,2921,3666,1496.0
2244,276.0,3682,458,1500.0
2679,277.0,3688,3521,324.0
2456,278.0,4528,2770,346.0
481,279.0,1777,14,2857.0
789,280.0,3623,2549,109.0
2784,281.0,4655,2053,1772.0
2505,282.0,98,4521,1104.0
28,283.0,575,1516,506.0
747,284.0,4751,3360,2014.0
1536,285.0,3348,3836,1800.0
1817,286.0,41,4297,2661.0
843,287.0,485,631,651.0
313,288.0,3912,461,892.0
1204,289.0,2664,2738,1553.0
1237,290.0,2328,4699,278.0
456,291.0,4203,1676,2505.0
1888,292.0,3416,2404,90.0
650,293.0,4638,2369,1839.0
1766,294.0,2676,2818,643.0
1016,295.0,2545,1346,1196.0
2846,296.0,3486,4301,1984.0
399,297.0,1897,317,2739.0
2761,298.0,4371,1427,112.0
121,299.0,4268,831,502.0
484,300.0,1516,2804,1812.0
364,301.0,2056,4069,1819.0
543,302.0,3355,1897,2204.0
1666,303.0,656,1289,661.0
587,304.0,81,3707,2570.0
1168,305.0,3847,2018,1738.0
846,306.0,3939,1181,1883.0
2185,307.0,493,1029,2803.0
421,308.0,3498,1316,383.0
